,city_name,country,date,lat,long,max_temp,humidity,cloudiness,wind_speed
0,Marystown,CA,1590112748,47.17,-55.15,44.58,74,100,18.14
1,Punta Arenas,CL,1590112749,-53.15,-70.92,41.0,80,75,11.41
2,Bosaso,SO,1590112752,11.28,49.18,90.0,50,0,8.93
3,Quelimane,MZ,1590112753,-17.88,36.89,64.4,93,20,3.36
4,Bredasdorp,ZA,1590112754,-34.53,20.04,53.6,81,20,3.36
5,Hermanus,ZA,1590112755,-34.42,19.23,60.12,75,11,2.89
6,Departamento de Maldonado,UY,1590112756,-34.67,-54.92,62.01,100,90,9.17
7,Srednekolymsk,RU,1590112757,67.45,153.68,37.99,69,92,10.58
8,Cochrane,CA,1590112758,51.18,-114.47,41.0,86,90,17.38
9,Airai,TL,1590112759,-8.93,125.41,67.06,100,96,2.08
10,Dikson,RU,1590112760,73.51,80.55,37.92,93,0,13.49
11,Carnarvon,AU,1590112761,-24.87,113.63,70.43,23,0,10.09
12,San Mariano,PH,1590112762,7.5,126.0,88.0,74,40,2.24
13,Southbridge,US,1590112763,42.08,-72.03,55.0,71,0,4.0
14,Thompson,CA,1590112764,55.74,-97.86,37.4,55,90,16.11
15,Constitución,CL,1590112765,-35.33,-72.42,51.48,65,0,3.56
16,Albany,US,1590112746,42.6,-73.97,71.6,26,40,9.17
17,Kapaa,US,1590112767,22.08,-159.32,75.2,88,90,19.46
18,Upernavik,GL,1590112768,72.79,-56.15,29.97,95,0,9.31
19,Barrow,US,1590112772,71.29,-156.79,26.6,92,90,21.92
20,Goderich,CA,1590112773,43.75,-81.72,55.0,70,0,0.83
21,Ushuaia,AR,1590112774,-54.8,-68.3,41.0,65,75,16.11
22,Flinders,AU,1590112775,-34.58,150.86,62.01,65,94,8.99
23,Butaritari,KI,1590112776,3.07,172.79,82.92,81,10,13.76
24,Mersing,MY,1590112777,2.43,103.84,80.6,88,40,4.7
25,São Felipe,BR,1590112778,-14.82,-41.38,68.94,85,71,3.15
26,Yellowknife,CA,1590112779,62.46,-114.35,48.2,49,90,9.17
27,Khatanga,RU,1590112781,71.97,102.5,64.67,54,82,7.83
28,Qaanaaq,GL,1590112782,77.48,-69.36,27.91,87,98,3.65
29,Mataura,NZ,1590112784,-46.19,168.86,57.9,71,0,6.6
30,Rikitea,PF,1590112785,-23.12,-134.97,72.9,67,50,21.79
31,Ilulissat,GL,1590112786,69.22,-51.1,35.6,80,0,9.17
32,Flagstaff,US,1590112666,35.2,-111.65,64.4,12,1,14.99
33,Cape Town,ZA,1590112708,-33.93,18.42,51.8,93,20,2.24
34,Dunedin,NZ,1590112607,-45.87,170.5,64.0,57,30,7.0
35,Dingle,PH,1590112790,11.0,122.67,88.88,65,100,9.19
36,East London,ZA,1590112792,-33.02,27.91,67.75,77,63,15.75
37,Iringa,TZ,1590112793,-7.77,35.7,59.0,77,20,6.93
38,Egvekinot,RU,1590112794,66.32,-179.17,30.97,98,7,9.28
39,Mareeba,AU,1590112795,-17.0,145.43,80.01,74,75,9.17
40,Port Hardy,CA,1590112796,50.7,-127.42,53.6,62,40,19.46
41,Hilo,US,1590112680,19.73,-155.09,82.4,61,75,10.29
42,Saint-Philippe,RE,1590112798,-21.36,55.77,73.4,73,40,13.87
43,Moranbah,AU,1590112799,-22.0,148.05,63.07,72,100,11.16
44,Puerto Ayora,EC,1590112801,-0.74,-90.35,73.99,91,26,7.85
45,Nālūt,LY,1590112802,30.33,10.85,66.94,42,89,18.48
